	price	index_id	date
463	10275.5	TAIEX	2012/11/14
464	10252.65	TAIEX	2012/11/15
465	10232.89	TAIEX	2012/11/16
466	10231.42	TAIEX	2012/11/19
467	10255.43	TAIEX	2012/11/20
468	10173.22	TAIEX	2012/11/21
469	10198	TAIEX	2012/11/22
470	10514.1	TAIEX	2012/11/23
471	10630.87	TAIEX	2012/11/26
472	10663.63	TAIEX	2012/11/27
473	10670.42	TAIEX	2012/11/28
474	10768.91	TAIEX	2012/11/29
475	10878.87	TAIEX	2012/11/30
476	10907.2	TAIEX	2012/12/3
477	10908.74	TAIEX	2012/12/4
478	10977.72	TAIEX	2012/12/5
479	10940.71	TAIEX	2012/12/6
480	10967.98	TAIEX	2012/12/7
481	10920.95	TAIEX	2012/12/10
482	10926.97	TAIEX	2012/12/11
483	11036.76	TAIEX	2012/12/12
484	11132.77	TAIEX	2012/12/13
485	11049.08	TAIEX	2012/12/14
486	10952.21	TAIEX	2012/12/17
487	10970.09	TAIEX	2012/12/18
488	11018.51	TAIEX	2012/12/19
489	10900.81	TAIEX	2012/12/20
490	10792.4	TAIEX	2012/12/21
491	10821.42	TAIEX	2012/12/22
492	10814.78	TAIEX	2012/12/24
493	10959.81	TAIEX	2012/12/25
494	10956.4	TAIEX	2012/12/26
495	10976.81	TAIEX	2012/12/27
496	11050.13	TAIEX	2012/12/28
497	11164.55	TAIEX	2013/1/2
498	11247.23	TAIEX	2013/1/3
499	11202.96	TAIEX	2013/1/4
500	11129.91	TAIEX	2013/1/7
501	11081.93	TAIEX	2013/1/8
502	11106.29	TAIEX	2013/1/9
503	11211.06	TAIEX	2013/1/10
504	11221.85	TAIEX	2013/1/11
505	11228.76	TAIEX	2013/1/14
506	11144.16	TAIEX	2013/1/15
507	11051.45	TAIEX	2013/1/16
508	10931.21	TAIEX	2013/1/17
509	11098.01	TAIEX	2013/1/18
510	11086.61	TAIEX	2013/1/21
511	11135.66	TAIEX	2013/1/22
512	11114.25	TAIEX	2013/1/23
513	11045.09	TAIEX	2013/1/24
514	11011.49	TAIEX	2013/1/25
515	11071.89	TAIEX	2013/1/28
516	11197.23	TAIEX	2013/1/29
517	11241.7	TAIEX	2013/1/30
518	11266.15	TAIEX	2013/1/31
519	11274.68	TAIEX	2013/2/1
520	11371.12	TAIEX	2013/2/4
521	11319.14	TAIEX	2013/2/5
522	11347.42	TAIEX	2013/2/6
523	11400.36	TAIEX	2013/2/18
524	11425.25	TAIEX	2013/2/19
525	11523.15	TAIEX	2013/2/20
526	11420.34	TAIEX	2013/2/21
527	11406.37	TAIEX	2013/2/22
528	11462.59	TAIEX	2013/2/23
529	11406.31	TAIEX	2013/2/25
530	11310.47	TAIEX	2013/2/26
531	11334.98	TAIEX	2013/2/27
532	11430.63	TAIEX	2013/3/1
533	11291	TAIEX	2013/3/4
534	11384.83	TAIEX	2013/3/5
535	11410.07	TAIEX	2013/3/6
536	11424.72	TAIEX	2013/3/7
537	11503.12	TAIEX	2013/3/8
538	11536.97	TAIEX	2013/3/11
539	11473.8	TAIEX	2013/3/12
540	11474.95	TAIEX	2013/3/13
541	11412.16	TAIEX	2013/3/14
542	11377.33	TAIEX	2013/3/15
543	11210.64	TAIEX	2013/3/18
544	11249.58	TAIEX	2013/3/19
545	11191.54	TAIEX	2013/3/20
546	11211.36	TAIEX	2013/3/21
547	11188.93	TAIEX	2013/3/22
548	11274.91	TAIEX	2013/3/25
549	11275.25	TAIEX	2013/3/26
550	11329.44	TAIEX	2013/3/27
551	11290.34	TAIEX	2013/3/28
552	11364.58	TAIEX	2013/3/29
553	11336.79	TAIEX	2013/4/1
554	11356.8	TAIEX	2013/4/2
555	11398.66	TAIEX	2013/4/3
556	11126.6	TAIEX	2013/4/8
557	11091.81	TAIEX	2013/4/9
558	11126.62	TAIEX	2013/4/10
559	11277.58	TAIEX	2013/4/11
560	11225.41	TAIEX	2013/4/12
561	11142.03	TAIEX	2013/4/15
562	11195.86	TAIEX	2013/4/16
563	11207.38	TAIEX	2013/4/17
564	11181.95	TAIEX	2013/4/18
565	11382.08	TAIEX	2013/4/19
566	11438.89	TAIEX	2013/4/22
567	11399.27	TAIEX	2013/4/23
568	11515.9	TAIEX	2013/4/24
569	11513.1	TAIEX	2013/4/25
570	11513.53	TAIEX	2013/4/26
571	11524.56	TAIEX	2013/4/29
572	11616.3	TAIEX	2013/4/30
573	11666.32	TAIEX	2013/5/2
574	11675.68	TAIEX	2013/5/3
575	11724.5	TAIEX	2013/5/6
576	11715.91	TAIEX	2013/5/7
577	11865.22	TAIEX	2013/5/8
578	11892.37	TAIEX	2013/5/9
579	11884.3	TAIEX	2013/5/10
580	11838.45	TAIEX	2013/5/13
581	11843.48	TAIEX	2013/5/14
582	11939.31	TAIEX	2013/5/15
583	12041.87	TAIEX	2013/5/16
584	12010.5	TAIEX	2013/5/17
585	12023.21	TAIEX	2013/5/20
586	12032.34	TAIEX	2013/5/21
587	12055.18	TAIEX	2013/5/22
588	11824.07	TAIEX	2013/5/23
589	11783.8	TAIEX	2013/5/24
590	11884.74	TAIEX	2013/5/27
591	11860.28	TAIEX	2013/5/28
592	11967.71	TAIEX	2013/5/29
593	11831.9	TAIEX	2013/5/30
594	11848.42	TAIEX	2013/5/31
595	11771.23	TAIEX	2013/6/3
596	11757.16	TAIEX	2013/6/4
597	11743.81	TAIEX	2013/6/5
598	11621.1	TAIEX	2013/6/6
599	11620.04	TAIEX	2013/6/7
600	11714.4	TAIEX	2013/6/10
601	11650.66	TAIEX	2013/6/11
602	11414.8	TAIEX	2013/6/13
603	11394.82	TAIEX	2013/6/14
604	11473.99	TAIEX	2013/6/17
605	11500.01	TAIEX	2013/6/18
606	11495.91	TAIEX	2013/6/19
607	11340.17	TAIEX	2013/6/20
608	11188.72	TAIEX	2013/6/21
609	11138.18	TAIEX	2013/6/24
610	11002.22	TAIEX	2013/6/25
611	11178.22	TAIEX	2013/6/26
612	11324.96	TAIEX	2013/6/27
613	11584.02	TAIEX	2013/6/28
614	11553.25	TAIEX	2013/7/1
615	11528.11	TAIEX	2013/7/2
616	11420.25	TAIEX	2013/7/3
617	11403.28	TAIEX	2013/7/4
618	11560.42	TAIEX	2013/7/5
619	11412.61	TAIEX	2013/7/8
620	11537.69	TAIEX	2013/7/9
621	11600.46	TAIEX	2013/7/10
622	11847.44	TAIEX	2013/7/11
623	11910.74	TAIEX	2013/7/12
624	11969.03	TAIEX	2013/7/15
625	11989.52	TAIEX	2013/7/16
626	12024.74	TAIEX	2013/7/17
627	11938.79	TAIEX	2013/7/18
628	11749.86	TAIEX	2013/7/19
629	11819.23	TAIEX	2013/7/22
630	11985.11	TAIEX	2013/7/23
631	11967.14	TAIEX	2013/7/24
632	11933.73	TAIEX	2013/7/25
